"id","ID Externe","Area_id /ID Externe","department_code","insee_code","zip_code","name","gps_lat","gps_lng","country_id"
6,"__cities_.fr.01007-01500-00006","__areas__.fr.001-001",1,1007,1500,"Ambronay","46.001447160494","5.3665422839506","base.fr"
7,"__cities_.fr.01008-01500-00007","__areas__.fr.001-001",1,1008,1500,"Ambutrix","45.935983243243","5.3318304054054","base.fr"
8,"__cities_.fr.01009-01300-00008","__areas__.fr.001-001",1,1009,1300,"Andert-et-Condon","45.786471006711","5.6574418120805","base.fr"
9,"__cities_.fr.01010-01350-00009","__areas__.fr.001-001",1,1010,1350,"Anglefort","45.919375342466","5.7890420547945","base.fr"
10,"__cities_.fr.01011-01100-00010","__areas__.fr.001-001",1,1011,1100,"Apremont","46.20755872093","5.6599165116279","base.fr"
11,"__cities_.fr.01012-01110-00011","__areas__.fr.001-001",1,1012,1110,"Aranc","46.004818529412","5.5040175490196","base.fr"
12,"__cities_.fr.01013-01230-00012","__areas__.fr.001-001",1,1013,1230,"Arandas","45.891865","5.493098030303","base.fr"
13,"__cities_.fr.01014-01100-00013","__areas__.fr.001-001",1,1014,1100,"Arbent","46.28619369863","5.6875171232877","base.fr"
14,"__cities_.fr.01015-01300-00014","__areas__.fr.001-001",1,1015,1300,"Arboys en Bugey","45.717191583012","5.6445241698842","base.fr"
15,"__cities_.fr.01016-01190-00015","__areas__.fr.001-001",1,1016,1190,"Arbigny","46.475566101695","4.9695481355932","base.fr"
16,"__cities_.fr.01017-01230-00016","__areas__.fr.001-001",1,1017,1230,"Argis","45.935171958763","5.4816940206186","base.fr"
17,"__cities_.fr.01019-01510-00017","__areas__.fr.001-001",1,1019,1510,"Armix","45.856628636364","5.5744975","base.fr"
18,"__cities_.fr.01021-01480-00018","__areas__.fr.001-001",1,1021,1480,"Ars-sur-Formans","45.99437625","4.8191379166667","base.fr"
19,"__cities_.fr.01022-01510-00019","__areas__.fr.001-001",1,1022,1510,"Artemare","45.869468571429","5.692361978022","base.fr"
20,"__cities_.fr.01023-01570-00020","__areas__.fr.001-001",1,1023,1570,"Asnières-sur-Saône","46.386086545455","4.8860641818182","base.fr"
21,"__cities_.fr.01024-01340-00021","__areas__.fr.001-001",1,1024,1340,"Attignat","46.285858903509","5.1816493421053","base.fr"
22,"__cities_.fr.01025-01380-00022","__areas__.fr.001-001",1,1025,1380,"Bâgé-Dommartin","46.3223375","4.957910975","base.fr"
23,"__cities_.fr.01026-01380-00023","__areas__.fr.001-001",1,1026,1380,"Bâgé-le-Châtel","46.307906444444","4.9295675555556","base.fr"
24,"__cities_.fr.01027-01360-00024","__areas__.fr.001-001",1,1027,1360,"Balan","45.82999739726","5.1021565753425","base.fr"
25,"__cities_.fr.01028-01990-00025","__areas__.fr.001-001",1,1028,1990,"Baneins","46.119529107143","4.9065755357143","base.fr"
26,"__cities_.fr.01029-01270-00026","__areas__.fr.001-001",1,1029,1270,"Beaupont","46.42501007874","5.2629440419947","base.fr"
27,"__cities_.fr.01030-01480-00027","__areas__.fr.001-001",1,1030,1480,"Beauregard","46.000953478261","4.7569539130435","base.fr"
28,"__cities_.fr.01031-01100-00028","__areas__.fr.001-001",1,1031,1100,"Bellignat","46.241422380952","5.639985","base.fr"
29,"__cities_.fr.01032-01360-00029","__areas__.fr.001-001",1,1032,1360,"Béligneux","45.86536266055","5.1327606422018","base.fr"
30,"__cities_.fr.01033-01200-00030","__areas__.fr.001-001",1,1033,1200,"Bellegarde-sur-Valserine","46.104923591837","5.8248288163265","base.fr"
31,"__cities_.fr.01034-01300-00031","__areas__.fr.001-001",1,1034,1300,"Belley","45.747806201923","5.6815619230769","base.fr"
32,"__cities_.fr.01035-01130-00032","__areas__.fr.001-001",1,1035,1130,"Belleydoux","46.255558275862","5.7790405747126","base.fr"
33,"__cities_.fr.01036-01260-00033","__areas__.fr.001-001",1,1036,1260,"Belmont-Luthézieu","45.892246890244","5.6570448170732","base.fr"
34,"__cities_.fr.01037-01470-00034","__areas__.fr.001-001",1,1037,1470,"Bénonces","45.835735223881","5.4786748507463","base.fr"
35,"__cities_.fr.01038-01370-00035","__areas__.fr.001-001",1,1038,1370,"Bény","46.321481714286","5.2847496190476","base.fr"
36,"__cities_.fr.01039-01350-00036","__areas__.fr.001-001",1,1039,1350,"Béon","45.858390206186","5.7458564948454","base.fr"
37,"__cities_.fr.01040-01340-00037","__areas__.fr.001-001",1,1040,1340,"Béréziat","46.368759272727","5.0407462424242","base.fr"
38,"__cities_.fr.01041-01500-00038","__areas__.fr.001-001",1,1041,1500,"Bettant","45.93878122449","5.365597755102","base.fr"
39,"__cities_.fr.01042-01290-00039","__areas__.fr.001-001",1,1042,1290,"Bey","46.217906547619","4.8453710714286","base.fr"
40,"__cities_.fr.01043-01700-00040","__areas__.fr.001-001",1,1043,1700,"Beynost","45.84200389313","4.9964673282443","base.fr"
41,"__cities_.fr.01044-01200-00041","__areas__.fr.001-001",1,1044,1200,"Billiat","46.077800909091","5.772225974026","base.fr"
42,"__cities_.fr.01045-01330-00042","__areas__.fr.001-001",1,1045,1330,"Birieux","45.95549015873","5.039526984127","base.fr"
43,"__cities_.fr.01046-01290-00043","__areas__.fr.001-001",1,1046,1290,"Biziat","46.22892","4.9445275572519","base.fr"
44,"__cities_.fr.01047-01150-00044","__areas__.fr.001-001",1,1047,1150,"Blyes","45.843565263158","5.2492607894737","base.fr"
45,"__cities_.fr.01049-01120-00045","__areas__.fr.001-001",1,1049,1120,"La Boisse","45.84861648","5.02185976","base.fr"
46,"__cities_.fr.01050-01190-00046","__areas__.fr.001-001",1,1050,1190,"Boissey","46.3812","4.996962","base.fr"
47,"__cities_.fr.01050-01380-00047","__areas__.fr.001-001",1,1050,1380,"Boissey","46.3812","4.996962","base.fr"
48,"__cities_.fr.01051-01450-00048","__areas__.fr.001-001",1,1051,1450,"Bolozon","46.196338089888","5.4674457303371","base.fr"
49,"__cities_.fr.01052-01330-00049","__areas__.fr.001-001",1,1052,1330,"Bouligneux","46.021790328638","4.9993523474178","base.fr"
50,"__cities_.fr.01053-01000-00050","__areas__.fr.001-001",1,1053,1000,"Bourg-en-Bresse","46.20744972067","5.2461237430168","base.fr"
51,"__cities_.fr.01054-01800-00051","__areas__.fr.001-001",1,1054,1800,"Bourg-Saint-Christophe","45.88773872093","5.1411945348837","base.fr"
52,"__cities_.fr.01056-01640-00052","__areas__.fr.001-001",1,1056,1640,"Boyeux-Saint-Jérôme","46.034943149171","5.4565408287293","base.fr"
53,"__cities_.fr.01057-01190-00053","__areas__.fr.001-001",1,1057,1190,"Boz","46.406688461538","4.9145222115385","base.fr"
54,"__cities_.fr.01058-01300-00054","__areas__.fr.001-001",1,1058,1300,"Brégnier-Cordon","45.642557962963","5.6218911111111","base.fr"
55,"__cities_.fr.01059-01260-00055","__areas__.fr.001-001",1,1059,1260,"Brénaz","45.9507006","5.7319224","base.fr"
56,"__cities_.fr.01060-01110-00056","__areas__.fr.001-001",1,1060,1110,"Brénod","46.079860253165","5.6245641139241","base.fr"
57,"__cities_.fr.01061-01300-00057","__areas__.fr.001-001",1,1061,1300,"Brens","45.716478","5.6952011428571","base.fr"
58,"__cities_.fr.01062-01360-00058","__areas__.fr.001-001",1,1062,1360,"Bressolles","45.871669416058","5.1005599270073","base.fr"
59,"__cities_.fr.01063-01460-00059","__areas__.fr.001-001",1,1063,1460,"Brion","46.164567419355","5.5459588709677","base.fr"
